padding token id: 0
bos token id: 1
eos token id: 2
vocab size: 128000
Dataset size: 1196218
Dataset is shuffled...
Dataset is splitted...
Total labels:  1423635
Total labels:  165248
{'loss': 8.7724, 'grad_norm': 4.923184871673584, 'learning_rate': 4.63664734730272e-06, 'epoch': 0.03}
{'loss': 8.832, 'grad_norm': 16.519155502319336, 'learning_rate': 4.7258136424431565e-06, 'epoch': 0.04}
{'loss': 9.0428, 'grad_norm': 3.182847261428833, 'learning_rate': 4.814979937583594e-06, 'epoch': 0.04}
{'loss': 7.7373, 'grad_norm': 15.805434226989746, 'learning_rate': 4.90414623272403e-06, 'epoch': 0.04}
{'loss': 8.0004, 'grad_norm': 3.3055644035339355, 'learning_rate': 4.993312527864468e-06, 'epoch': 0.04}
{'loss': 8.9173, 'grad_norm': 8.4671049118042, 'learning_rate': 5.082478823004905e-06, 'epoch': 0.04}
{'loss': 9.6724, 'grad_norm': 14.246121406555176, 'learning_rate': 5.171645118145342e-06, 'epoch': 0.04}
{'loss': 9.0787, 'grad_norm': 5.643850803375244, 'learning_rate': 5.260811413285778e-06, 'epoch': 0.04}
{'loss': 9.0125, 'grad_norm': 17.723533630371094, 'learning_rate': 5.349977708426215e-06, 'epoch': 0.04}
{'loss': 8.7279, 'grad_norm': 5.8940887451171875, 'learning_rate': 5.439144003566652e-06, 'epoch': 0.04}
{'loss': 8.9556, 'grad_norm': 1.6068544387817383, 'learning_rate': 5.5283102987070895e-06, 'epoch': 0.04}
{'loss': 9.8928, 'grad_norm': 2.083122491836548, 'learning_rate': 5.617476593847526e-06, 'epoch': 0.04}
{'loss': 8.7093, 'grad_norm': 3.0905792713165283, 'learning_rate': 5.706642888987963e-06, 'epoch': 0.04}
{'loss': 7.7624, 'grad_norm': 6.0908098220825195, 'learning_rate': 5.7958091841284e-06, 'epoch': 0.04}
{'loss': 10.0121, 'grad_norm': 2.9307923316955566, 'learning_rate': 5.884975479268837e-06, 'epoch': 0.04}
